,honest.mean,faking.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,honest.mean.1,faking.mean.1,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd
13,3.609661299,3.605025558,3.583892617,2.76,3.363333333,3.13,1.060201467,0.827991548,0.687558224,1.286305539,0.558894832,1.050449816
14,3.458772904,3.773802131,3.348993289,3.31,3.053333333,3.28,1.038797265,0.88027716,0.579401462,1.232462255,0.421601766,1.145705957
15,2.988062188,3.626236087,2.912751678,3.066666667,2.97,2.453333333,1.144979404,0.967256576,0.417349112,0.965399161,0.170872246,0.84272743
16,3.254303165,3.800124206,3.023489933,2.486666667,2.973333333,2.593333333,1.109956242,0.803136161,0.445083772,1.180876986,0.282053309,0.982091595
17,3.076346474,2.684660584,3.486577181,3.613333333,3.033333333,3.243333333,1.131749314,0.927359905,0.753099787,1.089853886,0.243075794,1.105227268
18,3.130205441,3.546839918,3.268456376,4.15,3.03,3.626666667,1.06656605,0.883834789,0.598886424,1.005420094,0.350489386,0.932839493
19,3.619794559,3.859695218,3.080536913,2.776666667,3.03,2.823333333,0.915234057,0.703004827,0.426666328,1.215887947,0.170872246,0.946100369
20,3.553720155,4.132804662,3.412751678,2.72,2.953333333,2.956666667,0.966767694,0.691005902,0.67227826,1.356860433,0.302424244,1.395689334
21,3.739727929,4.440930588,3.087248322,3.183333333,3.056666667,3.336666667,1.084067972,0.666777716,0.305568651,0.823802804,0.347165622,1.273602148
22,3.175041644,3.760856065,2.993288591,2.753333333,3.1,2.996666667,1.073986095,0.83100065,0.681616659,1.084624477,0.494112494,1.058484856
23,3.073431427,2.839678976,3.244966443,3.516666667,3.003333333,3.126666667,1.148924297,0.962460962,0.638594442,1.260297606,0.173462348,1.108173746
24,3.272626319,3.30010032,3,3.09,2.976666667,3.416666667,1.119201357,1.054522845,0.183493961,0.982403714,0.331393463,1.140493155
25,3.195030539,3.151435532,3.157718121,2.41,2.946666667,2.51,1.269741081,1.152145312,0.440336756,1.131149118,0.278232997,0.951973834
26,3.72723487,4.396073186,4.369127517,3.406666667,3.12,3.336666667,1.042816307,0.637209979,0.878849824,1.57996091,0.547661493,1.286665165
27,3.147556913,3.750394115,2.953020134,3.27,2.993333333,3.13,1.037017678,0.800427737,0.373094629,1.192409101,0.231229567,1.156528654
28,4.071765686,4.312759757,3.204697987,3.22,3.133333333,3.396666667,0.640384744,0.563193724,0.507563742,1.062400891,0.350187082,1.221048218
29,2.900055525,3.019251899,3.409395973,3.31,2.953333333,3.013333333,1.144922816,1.03952193,0.910199762,1.142329369,0.389436892,1.014850709
30,3.527484731,4.00979315,3.540268456,4.46,3.043333333,3.983333333,1.14549974,0.947024881,0.913823467,0.978907999,0.219734308,0.882601556
31,3.544003331,3.896813644,3.083892617,3.24,3.02,3.476666667,1.123070387,0.89318495,0.342808192,0.904688642,0.199329981,0.691169013
32,3.990005552,4.30793484,3.822147651,3.51,3.24,3.483333333,0.880416174,0.628144755,0.894377924,1.302133572,0.574601796,1.228040104
33,3.3738201,3.806955525,4.120805369,3.903333333,3.043333333,3.24,0.942634959,0.705987986,0.803299188,1.142368406,0.273932508,1.186208372
34,3.023459189,3.451058138,2.946308725,2.676666667,2.96,2.923333333,1.044546829,0.837308125,0.422996126,1.090605469,0.40696281,1.129176257
35,3.357162687,3.00587589,2.869127517,1.77,2.983333333,2.463333333,1.126955727,0.865729597,0.531486617,0.969656699,0.369925721,1.137086382
36,4.111327041,4.616299623,4.520134228,3.993333333,4.076666667,3.84,0.987827885,0.614265977,0.876899947,1.414197796,0.997046922,1.311538707
37,3.740144364,3.789232313,3.687919463,3.653333333,3.213333333,3.203333333,1.171148266,1.029288579,0.844822835,1.331313967,0.491896428,1.137086382
38,3.839672404,4.260067835,3.151006711,2.493333333,3.12,3.073333333,0.962854578,0.668994425,0.86496472,1.146445235,0.431533007,1.283268541
39,3.437534703,3.616442937,3.265100671,3.243333333,2.993333333,2.996666667,0.929030358,0.813294265,0.48567717,0.931134933,0.141500164,1.178112354
40,3.372154359,3.505995318,2.912751678,2.816666667,2.993333333,2.893333333,1.071072449,0.84789331,0.710032824,1.260297606,0.455316666,1.113292545
41,2.730843976,2.449577223,2.520134228,2.2,2.986666667,2.7,1.081767831,0.896199504,0.682585683,1.179535649,0.230940108,1.113913226
42,3.142282066,3.523814073,3.526845638,3.16,3.04,2.81,1.124806484,0.916840831,0.757199418,1.256847466,0.292149227,0.957578468
43,3.803164908,3.681985382,3.439597315,3.463333333,3.093333333,3.286666667,0.768938124,0.67996557,0.670224727,1.157492196,0.313501461,1.071595358
44,3.814686285,4.445421105,3.305369128,3.02,3.083333333,3.136666667,0.928336383,0.592684785,0.566195316,1.084830027,0.396121104,1.392042203
45,2.642976124,3.273873788,2.996644295,3.243333333,2.983333333,2.97,1.090499823,0.962979999,0.192420733,0.860187167,0.128232996,0.96550886
46,3.776374237,4.429465437,3.493288591,3.143333333,3.056666667,3.05,0.936905776,0.574520535,0.83381113,1.35729993,0.497608551,1.280481201
47,3.681704609,3.598050924,3.291946309,3.483333333,3.213333333,3.42,0.932480273,0.835505813,0.511157237,1.175156243,0.478104768,1.255196556
48,3.821765686,4.034108823,3.593959732,4.64,3.34,4.09,0.91928504,0.825023273,0.935403778,0.807821299,0.615627043,0.823098803
49,3.520960577,3.695886877,3.013422819,3.203333333,3,3.216666667,1.199277569,1.062854034,0.550317658,1.194464191,0.2586303,0.955387236
50,3.615907829,4.155973821,3.020134228,2.983333333,3.01,3.106666667,1.186731738,0.793562428,0.231225651,1.219842452,0.173205081,0.989217228
51,2.286091061,2.860602876,2.899328859,2.553333333,2.733333333,1.996666667,0.968572254,0.89820189,0.406097738,0.94700137,0.472192165,0.901497577
52,3.561493615,4.182391439,3.023489933,3.026666667,3.076666667,2.973333333,1.040733512,0.649994836,0.207887972,0.891780877,0.405796902,1.132946357
53,2.923098279,2.903501648,2.667785235,3.076666667,2.936666667,2.953333333,1.125561328,0.979902023,0.608886875,1.335440086,0.336202811,0.97347199
54,3.807329262,3.971814838,3.231543624,2.986666667,3.036666667,3.436666667,0.944420547,0.734069319,0.49585314,1.037663098,0.205254281,1.287704481
55,3.426568573,3.62274877,3.302013423,2.45,3.01,2.91,1.191281833,1.056538681,0.594075101,1.156991254,0.238234869,0.908101773
56,3.72098834,4.318826733,3.486577181,2.666666667,3.026666667,3.013333333,0.9864546,0.588529375,0.533226974,1.288833787,0.229778624,1.29566639
57,3.380760689,3.68389624,3.228187919,3.18,3.003333333,3.183333333,0.93822621,0.769961489,0.545823511,1.002138182,0.129272038,1.208825775
58,3.015130483,3.358859218,2.882550336,3.266666667,2.956666667,3.136666667,1.035356547,0.853222261,0.547074441,1.151800491,0.339371181,1.192783017
59,3.057468073,2.436822242,2.959731544,2.186666667,3.046666667,2.786666667,1.283510054,1.005376751,0.325756196,1.135541164,0.240864293,0.929535193
60,3.868961688,4.708594086,4.909395973,4.793333333,3.426666667,4.156666667,1.118440575,0.646929862,0.451535693,0.799637599,0.770237914,0.910063886
61,3.715158245,3.810633927,3.375838926,3.313333333,3.133333333,3.116666667,0.93592474,0.819611778,0.624704753,0.866598059,0.419693576,1.211589336
62,3.745696835,3.734390675,4.100671141,3.816666667,3.333333333,3.733333333,0.900284297,0.79517019,0.789194419,0.989774926,0.591655086,1.119404205
63,3.183647973,3.975684326,3.624161074,2.84,2.99,2.82,1.022313441,0.677595347,0.597148218,1.094712131,0.208273682,1.259452554
64,3.515408107,3.812783643,2.986577181,3.183333333,3.073333333,2.886666667,1.087539365,0.82443395,0.795497237,1.362317358,0.618517666,1.213285799
65,3.516657413,3.361677734,3.17114094,3.416666667,3.006666667,3.08,1.00622808,0.836783865,0.49329447,1.289158117,0.258544076,1.213193911
66,3.52040533,3.818755076,3.697986577,3.106666667,3.06,2.833333333,1.155301563,0.914205072,0.858349352,1.296492137,0.369940789,1.07831571
67,2.91379789,2.437634357,3.55033557,3.356666667,3.266666667,3.026666667,1.086912316,0.903837913,0.640246602,0.908592698,0.532133545,0.899250276
68,3.290533037,3.968996322,3.593959732,4.01,3.06,3.92,0.987982373,0.686082281,0.75627371,0.958974508,0.420701755,1.072739125
69,3.484591893,3.656141021,3.033557047,3.786666667,3.073333333,3.773333333,0.953543244,0.744266032,0.305198669,0.818569326,0.273627109,1.060993834
70,3.716546363,4.312138728,3.083892617,2.886666667,3.02,3.053333333,1.018718852,0.636284448,0.547115745,1.088318433,0.270512953,1.164047067
71,3.576901721,3.680791095,3.302013423,3.753333333,3.066666667,3.356666667,1.037435917,0.863651353,0.576821641,1.112030092,0.320256308,1.163601644
72,3.752498612,4.176324464,3.174496644,2.88,3.003333333,3.076666667,1.010681879,0.745397574,0.445426344,1.229079107,0.152971314,1.065162331
73,3.784841755,3.650695075,3.238255034,3.656666667,3.103333333,3.496666667,0.978351306,0.877012915,0.591988866,1.237156988,0.364827657,0.807565951
74,3.53137146,4.352983328,3.097315436,2.786666667,3.023333333,2.996666667,1.114810749,0.653629352,0.486095737,1.145511331,0.288211337,1.067921851
75,2.830927263,3.512205608,3.083892617,2.62,3,2.596666667,1.098132994,0.867214248,0.460210333,0.904614702,0.200334169,1.008652644
76,3.568573015,4.482109588,3.33557047,3.253333333,3.516666667,3.523333333,1.233702583,0.659079019,0.716432785,1.257415019,0.901349168,1.374440192
77,2.92087729,2.668131658,2.768456376,1.486666667,2.963333333,2.226666667,1.125160612,0.996350848,0.61688773,0.807462408,0.249391679,1.070408709
78,3.645197113,3.955476998,4.308724832,4.496666667,3.28,4.163333333,1.090588251,0.980716631,1.081832395,1.189413541,0.613341089,0.89029826
79,3.627012771,3.83719486,3.224832215,2.673333333,3.006666667,2.773333333,1.067406335,0.881611412,0.531614153,1.060047747,0.081513006,0.794181741
80,3.948500833,4.532269622,3.989932886,2.71,3.496666667,3.043333333,0.947159678,0.563282361,1.055640292,1.608682545,0.855821432,1.539270412
81,2.945308162,3.148808102,3.231543624,3.693333333,3.046666667,3.396666667,0.986543602,0.940760707,0.535046145,1.159210126,0.254370931,1.285104614
82,2.695308162,3.356375102,3.308724832,2.75,2.99,2.816666667,1.191401084,1.055579521,0.536848628,1.130675945,0.300334262,1.125735236
83,3.727651305,3.121339512,3.097315436,3.273333333,3.02,3.233333333,0.97188378,0.892293417,0.376846084,1.156032117,0.257853242,0.913786394
84,4.077040533,4.697128935,4.919463087,4.186666667,4.11,3.683333333,1.080685152,0.575463217,0.393837693,1.455639094,0.983764526,1.429405315
85,3.315519156,3.458844886,3.003355705,2.853333333,3.253333333,2.943333333,1.15721214,1.030904893,0.502507665,0.783497575,0.54480418,0.907119124
86,3.200583009,3.259781207,3.05033557,3.006666667,3.006666667,3.143333333,1.112395144,0.948041264,0.368109953,0.830011215,0.271171537,1.00971314
87,2.806218767,3.591983949,2.694630872,2.22,2.98,2.55,1.032142153,0.798615002,0.789688191,0.973701004,0.162340737,0.971586297
88,3.19905608,3.599197439,3.073825503,3.04,2.943333333,2.746666667,1.021805409,0.792885505,0.427882732,1.305404254,0.432912925,1.252084104
89,3.198223209,3.426694693,3.006711409,2.48,2.956666667,2.52,1.124051871,0.861150683,0.3480904,1.083287453,0.261438436,0.979522783
90,3.342726263,3.740648736,3.61409396,3.36,3.023333333,2.803333333,1.172999543,0.95925451,0.716850588,1.244546633,0.310553862,0.987203521
91,3.821626874,3.713275689,3.429530201,2.61,3.01,2.846666667,1.056359238,0.925029392,0.535035586,1.138223106,0.099664991,0.831943099
92,3.285813437,3.818086275,3.167785235,2.536666667,2.99,2.826666667,1.00550409,0.666027198,0.742211497,1.352066011,0.351632599,1.39634816
93,3.182259856,3.969903979,3.026845638,2.99,2.98,2.856666667,1.112553337,0.781957819,0.477737495,1.013240109,0.162340737,1.13743928
94,3.359661299,3.90617685,3.291946309,3.126666667,2.946666667,2.833333333,1.016531246,0.670190944,0.469976255,1.026711259,0.39709087,1.218127664
95,3.503053859,3.551712607,3.11409396,2.89,3.056666667,2.906666667,1.076739852,0.855208274,0.485898125,1.181476317,0.258867269,1.084069298
96,3.694891727,4.197964936,3.11409396,3.316666667,3.05,2.923333333,1.047754123,0.733817497,0.506259823,1.241582584,0.375904706,1.143889783
97,4.116601888,4.335212344,4.644295302,4.303333333,3.16,3.73,0.746694731,0.632984635,0.734652858,1.215007421,0.511800546,1.209120856
98,3.657412549,4.074475708,3.620805369,3.883333333,3.093333333,3.466666667,0.854262586,0.668162025,0.791688743,1.291749827,0.334157287,1.177643851
99,4.075374792,4.586346916,4.724832215,4.136666667,4.043333333,4.053333333,1.006715718,0.670385044,0.759754173,1.50294768,0.999057527,1.265897789
100,3.77429206,4.154349592,3.046979866,3.346666667,3.126666667,3.203333333,1.000277546,0.755016868,0.363958233,1.232159193,0.481033818,1.219403696
